category;type;naam_afgeleid;url;phone;email;opening_hours;cuisine;addr_street;addr_housenumber;addr_postcode;city;lat;lon;osm_layer;osm_id;osm_type_guess;osm_url;pakket;soort;tekst;categorie
vrije_tijd;Attractie;Steenkolenmijn Daalhemergroeve;;;;;;;;;;5,08562E+16;5,8257E+16;points;30432808;node;https://www.openstreetmap.org/node/30432808;;;;
horeca;fast_food;Burger King;;;;;burger;Columbusweg;51;5928LA;Venlo;513970999;6,08814E+15;points;34032502;node;https://www.openstreetmap.org/node/34032502;;;;
horeca;fast_food;McDonald's;https://mcdonaldsrestaurant.nl/venlo-markt;+31 77 351 1284;;Mo-Su 11:00-23:00;burger;Markt;9;5911HD;Venlo;5,13704E+16;6,16942E+15;points;34044149;node;https://www.openstreetmap.org/node/34044149;;;;Eten
vrije_tijd;Sportcentrum;Sport- en Leisurepark Strijthagen;;;;;;;;;;5,08843E+16;6,02307E+16;points;34045101;node;https://www.openstreetmap.org/node/34045101;;;;
vrije_tijd;Zwembad;De Roerdomp;;;;;;Achilleslaan;2C;6042JV;Roermond;511930897;6,0113E+15;points;34046748;node;https://www.openstreetmap.org/node/34046748;;;;
vrije_tijd;Sportcentrum;Buiten zwembad Kessel;https://www.zwembadkessel.nl;;info@zwembadkessel.nl;;;;;;;5,12928E+16;6,05677E+15;points;34046749;node;https://www.openstreetmap.org/node/34046749;;;;Sporten
vrije_tijd;Sportcentrum;'t Vroendel;;;;;;;;;;5,08136E+16;5735304;points;34050066;node;https://www.openstreetmap.org/node/34050066;;;;
vrije_tijd;Sportcentrum;Sporthal Rolduc;;+31 45 545 1626;;;;Rolduckerstraat;112;6461VN;Kerkrade;50866416;6,07688E+15;points;34050205;node;https://www.openstreetmap.org/node/34050205;;;;
horeca;Cafe;Jo Gerris hal;;;;;;Achilleslaan;2A;6042JV;Roermond;511940225;6,00973E+16;points;34050211;node;https://www.openstreetmap.org/node/34050211;;;;
vrije_tijd;Museum;Kapel van Verbeelding;;;;;;Jodenstraat;22;6211ER;Maastricht;5,08499E+16;5,69318E+15;points;34050681;node;https://www.openstreetmap.org/node/34050681;;;;
vrije_tijd;Museum;Archeologisch Museum;https://stichtingerfgoedstein.nl/over-het-museum/museum;+31 46 433 8919;info@stichtingerfgoedstein.nl;Mo-Fr 13:00-16:00;;Hoppenkampstraat;14a;6171VP;Stein;5,09653E+16;57605743;points;34050692;node;https://www.openstreetmap.org/node/34050692;;;;Bezoeken
horeca;Restaurant;Foodhall MOUT Venlo;https://www.moutvenlo.nl/;;;;;Deken van Oppensingel;6;5911AD;Venlo;5,1368E+16;6,17346E+16;points;34050702;node;https://www.openstreetmap.org/node/34050702;;;;Eten
logies;Hotel;Vlinderhofke;http://www.natuurhotel.nl/index.php;;;;;;;;;507947542;5,76672E+15;points;60696041;node;https://www.openstreetmap.org/node/60696041;;;;Slapen
vrije_tijd;picnic_site;Dagstrand Oostmaarland;;;;;;;;;;508046756;5705082;points;76858774;node;https://www.openstreetmap.org/node/76858774;;;;
vrije_tijd;Museum;Zollmuseum;http://www.zollmuseum-friedrichs.de/;+49 241 9970615;;;;Horbacher Straße;497;52072;Aachen;508450995;6,02017E+15;points;160079640;node;https://www.openstreetmap.org/node/160079640;;;;Bezoeken
logies;Hotel;Hotel Walram;https://hotelwalram.nl/;;;;;Walramplein;37;6301DC;Valkenburg;5,08634E+16;58348133;points;205158921;node;https://www.openstreetmap.org/node/205158921;;;;Slapen
vrije_tijd;Attractie;Kasteel Valkenburg;;;;;;;;;;5,08619E+16;58308118;points;205161375;node;https://www.openstreetmap.org/node/205161375;;;;
vrije_tijd;Informatie;Westlichster Punkt Deutschlands;;;;;;;;;;510511014;5,86632E+15;points;250039617;node;https://www.openstreetmap.org/node/250039617;;;;
logies;Hotel;De Burghoeve;https://www.hoteldeburghoeve.nl/;;;;;Broekhem;134;6301HL;Valkenburg;5,08716E+16;58158281;points;252362322;node;https://www.openstreetmap.org/node/252362322;;;;Slapen
horeca;Restaurant;Dionysos;https://www.dionysosvalkenburg.com/;+31 43 601 0179;info@dionysosvalkenburg.com;;greek;Grendelplein;20;6301BS;Valkenburg;508625648;5,82934E+15;points;252369692;node;https://www.openstreetmap.org/node/252369692;;;;Eten
vrije_tijd;Museum;Museum Valkenburg;https://www.museumvalkenburg.nl;;;Tu-Su 13:00-17:00;;Grotestraat Centrum;31;6301CW;Valkenburg;5,08637E+16;58320799;points;252382829;node;https://www.openstreetmap.org/node/252382829;;;;Bezoeken
logies;Hotel;De Geulvallei;https://www.fletcher.nl/nl/hotel-restaurant-de-geulvallei;;;;;Onderstestraat;66;6301KC;Valkenburg;5,08703E+16;57918981;points;257319828;node;https://www.openstreetmap.org/node/257319828;;;;Slapen
